"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"DAL","2009-2010",81,3764.7,3275,3544,-269,48.03,52.2,56.48,145,151,-6,48.99,2.31,2.41,126.74,135.16,-8.42,48.39,2.02,2.15,289,318,29,8.05,92.02,100.07
"DET","2009-2010",82,3855.5,3735,3176,559,54.04,58.12,49.43,138,150,-12,47.92,2.15,2.33,150.15,135.46,14.69,52.57,2.34,2.11,258,283,25,6.74,91.91,98.65
"EDM","2009-2010",82,3807.76,3229,3954,-725,44.95,50.88,62.3,142,187,-45,43.16,2.24,2.95,139.4,163.5,-24.1,46.02,2.2,2.58,319,341,22,7.97,90.97,98.94
"FLA","2009-2010",82,3810.72,3170,3947,-777,44.54,49.91,62.15,135,146,-11,48.04,2.13,2.3,126.33,149.2,-22.87,45.85,1.99,2.35,275,305,30,7.77,93.13,100.9
"L.A","2009-2010",82,3760.06,3235,3142,93,50.73,51.62,50.14,139,132,7,51.29,2.22,2.11,132.06,126.44,5.62,51.09,2.11,2.02,312,310,-2,7.95,91.97,99.91
"MIN","2009-2010",82,3747.44,3085,3367,-282,47.81,49.39,53.91,134,150,-16,47.18,2.15,2.4,119.68,122.6,-2.92,49.4,1.92,1.96,302,289,-13,8.22,91.81,100.02
"MTL","2009-2010",82,3856.75,3369,3772,-403,47.18,52.41,58.68,130,142,-12,47.79,2.02,2.21,129.93,151.34,-21.41,46.19,2.02,2.35,297,280,-17,7.58,92.81,100.39
"N.J","2009-2010",82,3932.43,3251,3125,126,50.99,49.6,47.68,143,129,14,52.57,2.18,1.97,133.21,125.4,7.81,51.51,2.03,1.91,260,282,22,7.63,92.63,100.26
"NSH","2009-2010",82,3905.33,3553,3347,206,51.49,54.59,51.42,146,141,5,50.87,2.24,2.17,146.6,140.49,6.11,51.06,2.25,2.16,230,250,20,7.59,92.4,99.99
"NYI","2009-2010",81,3678.77,3355,3678,-323,47.7,54.72,59.99,139,162,-23,46.18,2.27,2.64,150.19,153.1,-2.91,49.52,2.45,2.5,305,313,8,7.68,91.46,99.14
"NYR","2009-2010",82,3749.57,3426,3463,-37,49.73,54.82,55.41,144,137,7,51.25,2.3,2.19,150.71,154.88,-4.17,49.32,2.41,2.48,333,330,-3,7.92,92.57,100.49
"OTT","2009-2010",82,3795.34,3444,3181,263,51.98,54.45,50.29,145,171,-26,45.89,2.29,2.7,146.61,130.14,16.47,52.98,2.32,2.06,344,313,-31,7.85,89.77,97.62
"PHI","2009-2010",82,3654.02,3478,3353,125,50.91,57.11,55.06,140,142,-2,49.65,2.3,2.33,152.82,141.85,10.97,51.86,2.51,2.33,404,391,-13,7.46,92,99.45
"PIT","2009-2010",81,3640.51,3563,3278,285,52.08,58.72,54.03,167,156,11,51.7,2.75,2.57,144.89,131.23,13.66,52.47,2.39,2.16,365,355,-10,8.6,90.83,99.43
"S.J","2009-2010",81,3695.41,3497,3349,148,51.08,56.78,54.38,164,132,32,55.41,2.66,2.14,155.37,142.43,12.94,52.17,2.52,2.31,331,326,-5,8.85,92.92,101.77
"STL","2009-2010",82,3664.08,3285,3176,109,50.84,53.79,52.01,142,143,-1,49.82,2.33,2.34,132.87,134.98,-2.11,49.61,2.18,2.21,403,357,-46,7.94,91.88,99.83
"T.B","2009-2010",82,3666.72,3034,3337,-303,47.62,49.65,54.6,132,156,-24,45.83,2.16,2.55,122.93,139.58,-16.65,46.83,2.01,2.28,386,377,-9,7.8,91.52,99.32
"TOR","2009-2010",82,3786.18,3926,3507,419,52.82,62.22,55.58,149,161,-12,48.06,2.36,2.55,158.68,138.78,19.9,53.34,2.51,2.2,332,331,-1,7.37,91.12,98.49
"VAN","2009-2010",82,3670.41,3353,3133,220,51.7,54.81,51.21,167,134,33,55.48,2.73,2.19,139.77,131.66,8.11,51.49,2.28,2.15,361,352,-9,9.14,92.4,101.53
"WSH","2009-2010",82,3798.3,3880,3459,421,52.87,61.29,54.64,209,134,75,60.93,3.3,2.12,154,145.08,8.92,51.49,2.43,2.29,275,267,-8,10.39,92.9,103.29
