team,year,q1_record,q2_record,q3_record,q4_record,sd_record
New York Rangers,2009,0.65,0.5,0.4,0.5454545454545454,0.2311130094574857
Florida Panthers,2009,0.4,0.5,0.6,0.5,0.2345207879911715
Montreal Canadiens,2009,0.55,0.65,0.35,0.45454545454545453,0.24932553647890918
St Louis Blues,2009,0.45,0.35,0.5,0.6818181818181818,0.2557479712400246
Columbus Blue Jackets,2009,0.45,0.45,0.6,0.5,0.2318404623873926
Buffalo Sabres,2009,0.45,0.55,0.55,0.45454545454545453,0.22839269502437215
Anaheim Ducks,2009,0.5,0.5,0.4,0.6363636363636364,0.23508394843101763
Minnesota Wild,2009,0.6,0.4,0.5,0.45454545454545453,0.24017899661132555
Nashville Predators,2009,0.5,0.4,0.5,0.5454545454545454,0.23578600747778491
Edmonton Oilers,2009,0.45,0.5,0.55,0.36363636363636365,0.2485702920355621
Ottawa Senators,2009,0.35,0.3,0.5,0.5909090909090909,0.27800945343341676
Dallas Stars,2009,0.3,0.55,0.6,0.3181818181818182,0.28336088020358785
Toronto Maple Leafs,2009,0.35,0.45,0.3,0.5454545454545454,0.27965814432258257
Los Angeles Kings,2009,0.4,0.45,0.45,0.36363636363636365,0.26374214178885386
Phoenix Coyotes,2009,0.4,0.55,0.4,0.4090909090909091,0.25852410089545164
Atlanta Thrashers,2009,0.4,0.25,0.4,0.6363636363636364,0.293320967683261
Colorado Avalanche,2009,0.45,0.55,0.4,0.18181818181818182,0.30203510824334684
Tampa Bay Lightning,2009,0.3,0.25,0.45,0.18181818181818182,0.33014835132754716
New York Islanders,2009,0.4,0.2,0.3,0.36363636363636365,0.31520687159518973
Washington Capitals,2010,0.6,0.6,0.85,0.5909090909090909,0.18736978949801092
San Jose Sharks,2010,0.65,0.6,0.7,0.5454545454545454,0.17774994042844025
Chicago Blackhawks,2010,0.65,0.7,0.65,0.5454545454545454,0.1720981365240232
Phoenix Coyotes,2010,0.55,0.65,0.6,0.6363636363636364,0.17905283397749364
Vancouver Canucks,2010,0.5,0.65,0.7,0.5454545454545454,0.1963404868509282
New Jersey Devils,2010,0.7,0.75,0.4,0.5,0.23345235059857503
Detroit Red Wings,2010,0.5,0.5,0.35,0.7727272727272727,0.2594813644799886
Los Angeles Kings,2010,0.55,0.55,0.7,0.45454545454545453,0.21400838015568338
Pittsburgh Penguins,2010,0.65,0.65,0.5,0.5,0.2043281674170255
Nashville Predators,2010,0.55,0.6,0.45,0.6818181818181818,0.20964846610181284
Buffalo Sabres,2010,0.6,0.65,0.4,0.5454545454545454,0.22239307022915622
Colorado Avalanche,2010,0.6,0.5,0.65,0.36363636363636365,0.23758426082494508
Ottawa Senators,2010,0.55,0.45,0.7,0.45454545454545453,0.22988049356636167
Boston Bruins,2010,0.4,0.65,0.3,0.5454545454545454,0.27078093368918493
St Louis Blues,2010,0.4,0.45,0.45,0.6363636363636364,0.24774603765459846
Calgary Flames,2010,0.6,0.55,0.3,0.5,0.25592967784139453
Anaheim Ducks,2010,0.35,0.45,0.65,0.45454545454545453,0.2582802309236044
Montreal Canadiens,2010,0.45,0.5,0.45,0.5,0.2361143790623519
Dallas Stars,2010,0.45,0.45,0.45,0.45454545454545453,0.24546717139243887
Philadelphia Flyers,2010,0.6,0.35,0.65,0.4090909090909091,0.2556510082446946
New York Rangers,2010,0.55,0.4,0.35,0.5454545454545454,0.2565143013105887
Minnesota Wild,2010,0.35,0.65,0.45,0.4090909090909091,0.2645634170721503
Atlanta Thrashers,2010,0.5,0.4,0.4,0.4090909090909091,0.2595768966785299
Carolina Hurricanes,2010,0.15,0.35,0.65,0.5454545454545454,0.3209071594070124
Tampa Bay Lightning,2010,0.4,0.35,0.55,0.36363636363636365,0.27305661932165626
Columbus Blue Jackets,2010,0.6,0.15,0.45,0.36363636363636365,0.3173267732034843
New York Islanders,2010,0.35,0.4,0.45,0.45454545454545453,0.26565450127860957
Florida Panthers,2010,0.45,0.35,0.4,0.36363636363636365,0.2751295712782171
Toronto Maple Leafs,2010,0.15,0.55,0.25,0.5,0.3305298776207682
Edmonton Oilers,2010,0.4,0.4,0.15,0.36363636363636365,0.3178634771134372
Vancouver Canucks,2011,0.5,0.85,0.55,0.7272727272727273,0.20766808386907035
Washington Capitals,2011,0.7,0.45,0.4,0.7727272727272727,0.24571534965860645
Pittsburgh Penguins,2011,0.5,0.75,0.55,0.5909090909090909,0.20280573288064663
Philadelphia Flyers,2011,0.6,0.65,0.7,0.36363636363636365,0.22841530972990462
San Jose Sharks,2011,0.5,0.55,0.6,0.6818181818181818,0.19822559983451196
Detroit Red Wings,2011,0.7,0.55,0.6,0.45454545454545453,0.20922920327748762
Boston Bruins,2011,0.6,0.45,0.65,0.5454545454545454,0.20971744075941248
Tampa Bay Lightning,2011,0.55,0.65,0.55,0.5,0.203100960115899
Nashville Predators,2011,0.45,0.6,0.5,0.5909090909090909,0.21714716798057365
Anaheim Ducks,2011,0.5,0.45,0.65,0.6818181818181818,0.2155283724683202
Phoenix Coyotes,2011,0.5,0.45,0.65,0.5,0.22527760652137618
Los Angeles Kings,2011,0.65,0.45,0.55,0.5909090909090909,0.2097469943834537
Chicago Blackhawks,2011,0.45,0.55,0.55,0.5909090909090909,0.21424960341149635
Montreal Canadiens,2011,0.65,0.4,0.5,0.5909090909090909,0.22837007807938295
Buffalo Sabres,2011,0.35,0.5,0.6,0.6363636363636364,0.24100341206733814
Dallas Stars,2011,0.55,0.6,0.4,0.5,0.23021728866442676
Calgary Flames,2011,0.4,0.5,0.6,0.5,0.2345207879911715
New York Rangers,2011,0.5,0.6,0.45,0.5909090909090909,0.21714716798057365
Carolina Hurricanes,2011,0.45,0.5,0.45,0.5454545454545454,0.23312022932880375
St Louis Blues,2011,0.6,0.4,0.35,0.5,0.2588435821108957
Minnesota Wild,2011,0.5,0.5,0.6,0.3181818181818182,0.25400917534023215
Toronto Maple Leafs,2011,0.4,0.4,0.5,0.5,0.25099800796022265
Columbus Blue Jackets,2011,0.7,0.3,0.55,0.13636363636363635,0.3382990998979092
New Jersey Devils,2011,0.25,0.25,0.8,0.5454545454545454,0.33286571883698013
Atlanta Thrashers,2011,0.4,0.6,0.25,0.4090909090909091,0.28969918852960347
Ottawa Senators,2011,0.45,0.35,0.2,0.5454545454545454,0.3027593485600335
New York Islanders,2011,0.2,0.45,0.5,0.3181818181818182,0.3063312634636018
Florida Panthers,2011,0.45,0.45,0.35,0.22727272727272727,0.2965538987705828
Colorado Avalanche,2011,0.6,0.45,0.25,0.18181818181818182,0.32640984732350226
Edmonton Oilers,2011,0.25,0.4,0.3,0.2727272727272727,0.31574390710832895
Vancouver Canucks,2012,0.5,0.7,0.7,0.5909090909090909,0.18833766054659723
New York Rangers,2012,0.6,0.75,0.6,0.5454545454545454,0.18464842626546824
St Louis Blues,2012,0.5,0.65,0.65,0.5909090909090909,0.19007936576403078
Pittsburgh Penguins,2012,0.55,0.5,0.65,0.7727272727272727,0.20008779064936008
Nashville Predators,2012,0.5,0.55,0.7,0.5909090909090909,0.19958634909181952
Philadelphia Flyers,2012,0.55,0.65,0.45,0.6363636363636364,0.20761833228505244
Boston Bruins,2012,0.65,0.75,0.45,0.5454545454545454,0.21165912873500048
New Jersey Devils,2012,0.55,0.55,0.65,0.5909090909090909,0.18995976085424418
Detroit Red Wings,2012,0.6,0.65,0.8,0.3181818181818182,0.25239350098376734
Chicago Blackhawks,2012,0.6,0.6,0.4,0.5909090909090909,0.21954121960907025
Phoenix Coyotes,2012,0.55,0.4,0.55,0.5454545454545454,0.22779485478774228
San Jose Sharks,2012,0.65,0.55,0.4,0.5,0.23075961518428653
Los Angeles Kings,2012,0.5,0.45,0.4,0.5909090909090909,0.24077183053705697
Florida Panthers,2012,0.55,0.45,0.4,0.45454545454545453,0.24592967482326666
Washington Capitals,2012,0.6,0.45,0.4,0.5909090909090909,0.23571589566907528
Ottawa Senators,2012,0.5,0.5,0.5,0.5,0.22360679774997896
Calgary Flames,2012,0.4,0.5,0.5,0.4090909090909091,0.24957815649280507
Dallas Stars,2012,0.6,0.55,0.35,0.5454545454545454,0.23851728630807578
Buffalo Sabres,2012,0.6,0.3,0.4,0.5909090909090909,0.26818952223140774
Colorado Avalanche,2012,0.45,0.6,0.4,0.5454545454545454,0.2374189726939305
Tampa Bay Lightning,2012,0.45,0.4,0.5,0.5,0.24392621835300934
Winnipeg Jets,2012,0.4,0.55,0.45,0.4090909090909091,0.252069943068084
Carolina Hurricanes,2012,0.3,0.35,0.5,0.45454545454545453,0.2794549003369131
Minnesota Wild,2012,0.6,0.45,0.3,0.36363636363636365,0.27927000472157776
Anaheim Ducks,2012,0.3,0.3,0.65,0.4090909090909091,0.2982039903064859
Toronto Maple Leafs,2012,0.55,0.45,0.45,0.2727272727272727,0.27351023973458366
New York Islanders,2012,0.25,0.5,0.5,0.4090909090909091,0.2809370389156808
Montreal Canadiens,2012,0.45,0.3,0.45,0.3181818181818182,0.2863528136482991
Edmonton Oilers,2012,0.5,0.3,0.4,0.36363636363636365,0.28186216665550473
Columbus Blue Jackets,2012,0.25,0.3,0.35,0.5,0.3053686296920494
Chicago Blackhawks,2013,0.8333333333333334,0.9166666666666666,0.5,0.75,0.19184774055368897
Pittsburgh Penguins,2013,0.6666666666666666,0.6666666666666666,1,0.6666666666666666,0.18257418583505539
Anaheim Ducks,2013,0.75,0.75,0.5,0.5,0.2091650066335189
Montreal Canadiens,2013,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5,0.19002923751652298
Boston Bruins,2013,0.6666666666666666,0.75,0.5833333333333334,0.3333333333333333,0.2429563289518875
St Louis Blues,2013,0.5,0.5833333333333334,0.5833333333333334,0.75,0.19895560643855537
Los Angeles Kings,2013,0.4166666666666667,0.75,0.5,0.5833333333333334,0.23124061542519345
Vancouver Canucks,2013,0.6666666666666666,0.25,0.6666666666666666,0.5833333333333334,0.2674467755980202
Washington Capitals,2013,0.25,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.2850438562747845
San Jose Sharks,2013,0.5833333333333334,0.3333333333333333,0.6666666666666666,0.5,0.2472066162365221
Toronto Maple Leafs,2013,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.5,0.22515426810177158
New York Rangers,2013,0.5833333333333334,0.5,0.4166666666666667,0.6666666666666666,0.22515426810177158
Ottawa Senators,2013,0.5,0.5,0.5833333333333334,0.5,0.2173067468400883
Detroit Red Wings,2013,0.5833333333333334,0.4166666666666667,0.5,0.5,0.23124061542519345
Columbus Blue Jackets,2013,0.25,0.4166666666666667,0.5833333333333334,0.75,0.29107081994288303
New York Islanders,2013,0.3333333333333333,0.5,0.5833333333333334,0.5833333333333334,0.24579802006254375
Minnesota Wild,2013,0.5,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.22515426810177158
Phoenix Coyotes,2013,0.4166666666666667,0.5,0.3333333333333333,0.5,0.2608745973749755
Winnipeg Jets,2013,0.4166666666666667,0.5833333333333334,0.5,0.5,0.23124061542519345
Philadelphia Flyers,2013,0.4166666666666667,0.5,0.4166666666666667,0.5833333333333334,0.2429563289518875
Dallas Stars,2013,0.5,0.5,0.3333333333333333,0.5,0.25276251480171835
Buffalo Sabres,2013,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.28625940062196115
New Jersey Devils,2013,0.6666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.3140240613569462
Edmonton Oilers,2013,0.4166666666666667,0.25,0.6666666666666666,0.25,0.3195048252113469
Carolina Hurricanes,2013,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.25,0.3301935459359825
Calgary Flames,2013,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5,0.27888667551135854
Nashville Predators,2013,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.3151278400198173
Tampa Bay Lightning,2013,0.5,0.3333333333333333,0.5,0.16666666666666666,0.31180478223116176
Colorado Avalanche,2013,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.3151278400198173
Florida Panthers,2013,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.30956959368344517
Boston Bruins,2014,0.65,0.65,0.6,0.7272727272727273,0.16008133263391844
Anaheim Ducks,2014,0.75,0.65,0.65,0.5909090909090909,0.16234973981047496
Colorado Avalanche,2014,0.75,0.5,0.65,0.6363636363636364,0.186269377493284
San Jose Sharks,2014,0.65,0.6,0.65,0.5909090909090909,0.17094172802497723
St Louis Blues,2014,0.7,0.7,0.6,0.5454545454545454,0.17569225536443353
Pittsburgh Penguins,2014,0.6,0.8,0.6,0.5,0.2
Chicago Blackhawks,2014,0.65,0.7,0.4,0.5,0.229128784747792
Tampa Bay Lightning,2014,0.7,0.5,0.5,0.5454545454545454,0.2126767616799675
Montreal Canadiens,2014,0.5,0.65,0.45,0.6363636363636364,0.21514457948701526
Los Angeles Kings,2014,0.65,0.6,0.35,0.6363636363636364,0.23192065471329765
Minnesota Wild,2014,0.6,0.4,0.6,0.5,0.22803508501982758
New York Rangers,2014,0.5,0.45,0.7,0.5454545454545454,0.22239307022915622
Philadelphia Flyers,2014,0.4,0.6,0.5,0.5454545454545454,0.2305222242382903
Columbus Blue Jackets,2014,0.35,0.5,0.65,0.5454545454545454,0.2437016533956399
Detroit Red Wings,2014,0.45,0.45,0.5,0.5,0.2361143790623519
Dallas Stars,2014,0.55,0.45,0.4,0.5454545454545454,0.2384219816256757
Washington Capitals,2014,0.55,0.45,0.4,0.45454545454545453,0.24592967482326666
Phoenix Coyotes,2014,0.65,0.35,0.35,0.45454545454545453,0.2743248662287197
Nashville Predators,2014,0.45,0.45,0.4,0.5454545454545454,0.24657572219677165
Ottawa Senators,2014,0.4,0.35,0.55,0.45454545454545453,0.2617763539820437
New Jersey Devils,2014,0.35,0.45,0.45,0.45454545454545453,0.2603835378376665
Winnipeg Jets,2014,0.45,0.4,0.55,0.4090909090909091,0.252069943068084
Toronto Maple Leafs,2014,0.6,0.35,0.65,0.2727272727272727,0.28673496847918695
Carolina Hurricanes,2014,0.4,0.35,0.55,0.36363636363636365,0.27305661932165626
Vancouver Canucks,2014,0.55,0.6,0.2,0.4090909090909091,0.2946772993357338
New York Islanders,2014,0.35,0.25,0.5,0.5454545454545454,0.28845914387647764
Calgary Flames,2014,0.3,0.4,0.45,0.5454545454545454,0.2724544089543747
Edmonton Oilers,2014,0.2,0.45,0.35,0.4090909090909091,0.3047997581396407
Florida Panthers,2014,0.2,0.55,0.35,0.3181818181818182,0.31492816969289317
Buffalo Sabres,2014,0.2,0.35,0.3,0.18181818181818182,0.339079941328841
New York Rangers,2015,0.45,0.75,0.7,0.6818181818181818,0.19620890368252283
Montreal Canadiens,2015,0.7,0.6,0.65,0.5,0.18841443681416772
Anaheim Ducks,2015,0.55,0.7,0.6,0.6363636363636364,0.17784290588481094
St Louis Blues,2015,0.65,0.55,0.7,0.5909090909090909,0.17810411107036603
Tampa Bay Lightning,2015,0.65,0.55,0.6,0.6363636363636364,0.17905283397749364
Nashville Predators,2015,0.65,0.7,0.65,0.3181818181818182,0.24195741036337795
Chicago Blackhawks,2015,0.6,0.7,0.45,0.5909090909090909,0.20575400541375044
New York Islanders,2015,0.7,0.6,0.65,0.36363636363636365,0.22841530972990462
Washington Capitals,2015,0.45,0.6,0.6,0.5454545454545454,0.21085226507189914
Vancouver Canucks,2015,0.65,0.5,0.6,0.5909090909090909,0.19322192097120258
Minnesota Wild,2015,0.6,0.3,0.65,0.6818181818181818,0.24922192970911264
Detroit Red Wings,2015,0.5,0.55,0.65,0.4090909090909091,0.22861874141377786
Winnipeg Jets,2015,0.5,0.5,0.5,0.5909090909090909,0.21704247975115132
Ottawa Senators,2015,0.45,0.35,0.55,0.7272727272727273,0.25617578546351966
Pittsburgh Penguins,2015,0.7,0.5,0.5,0.4090909090909091,0.23667811247688247
Calgary Flames,2015,0.6,0.45,0.55,0.5909090909090909,0.210827766452709
Boston Bruins,2015,0.6,0.35,0.5,0.5454545454545454,0.24262680930812516
Los Angeles Kings,2015,0.55,0.4,0.5,0.5,0.23558437978779492
Dallas Stars,2015,0.35,0.55,0.45,0.6363636363636364,0.24939182222305434
Florida Panthers,2015,0.4,0.6,0.3,0.5454545454545454,0.26842054089964784
Colorado Avalanche,2015,0.3,0.5,0.5,0.5909090909090909,0.2586998643886594
Columbus Blue Jackets,2015,0.3,0.6,0.4,0.7272727272727273,0.2766087429822399
San Jose Sharks,2015,0.5,0.55,0.45,0.45454545454545453,0.23224114711485375
Philadelphia Flyers,2015,0.4,0.35,0.55,0.3181818181818182,0.2807420803913787
New Jersey Devils,2015,0.45,0.2,0.6,0.3181818181818182,0.3100919618329189
Carolina Hurricanes,2015,0.3,0.3,0.55,0.3181818181818182,0.3022231675024379
Toronto Maple Leafs,2015,0.5,0.55,0.15,0.2727272727272727,0.326536419190649
Edmonton Oilers,2015,0.3,0.15,0.4,0.3181818181818182,0.3292177053572015
Arizona Coyotes,2015,0.4,0.4,0.2,0.18181818181818182,0.33203604304999407
Buffalo Sabres,2015,0.25,0.45,0.15,0.2727272727272727,0.33936924964307796
Washington Capitals,2016,0.7,0.8,0.75,0.5,0.18027756377319948
Dallas Stars,2016,0.8,0.6,0.45,0.5909090909090909,0.2143026360890382
St Louis Blues,2016,0.65,0.5,0.55,0.6818181818181818,0.19528004895703285
Pittsburgh Penguins,2016,0.6,0.35,0.6,0.7727272727272727,0.24057438154934793
Chicago Blackhawks,2016,0.55,0.6,0.7,0.45454545454545453,0.20922920327748762
Florida Panthers,2016,0.4,0.8,0.55,0.5454545454545454,0.23875538157579812
Anaheim Ducks,2016,0.35,0.5,0.8,0.5909090909090909,0.25542866255158714
Los Angeles Kings,2016,0.6,0.7,0.5,0.5454545454545454,0.19944136858769354
New York Rangers,2016,0.75,0.35,0.6,0.5454545454545454,0.2428608757265725
New York Islanders,2016,0.5,0.6,0.55,0.5454545454545454,0.20483817438639315
San Jose Sharks,2016,0.6,0.4,0.6,0.6363636363636364,0.21803025038430934
Tampa Bay Lightning,2016,0.4,0.55,0.75,0.5454545454545454,0.23233898716891593
Philadelphia Flyers,2016,0.3,0.6,0.45,0.6363636363636364,0.26162240154798583
Nashville Predators,2016,0.55,0.4,0.45,0.5909090909090909,0.23720566798797163
Detroit Red Wings,2016,0.5,0.5,0.45,0.5454545454545454,0.22664458651165997
Boston Bruins,2016,0.55,0.5,0.55,0.45454545454545453,0.22111195324488586
Minnesota Wild,2016,0.55,0.5,0.3,0.5,0.2588435821108957
Carolina Hurricanes,2016,0.35,0.45,0.55,0.36363636363636365,0.26784647755232865
Ottawa Senators,2016,0.5,0.45,0.45,0.45454545454545453,0.2407932826278127
New Jersey Devils,2016,0.55,0.45,0.45,0.4090909090909091,0.2449363216284848
Colorado Avalanche,2016,0.35,0.6,0.55,0.4090909090909091,0.2548496558903661
Montreal Canadiens,2016,0.7,0.4,0.3,0.45454545454545453,0.28148073639003734
Buffalo Sabres,2016,0.4,0.35,0.45,0.5,0.26315394733881536
Winnipeg Jets,2016,0.45,0.5,0.35,0.4090909090909091,0.26197359654983593
Arizona Coyotes,2016,0.5,0.5,0.35,0.36363636363636365,0.2655027976070875
Calgary Flames,2016,0.35,0.6,0.35,0.4090909090909091,0.2759169536096979
