"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"MTL","2012-2013",48,2187,2114,1886,228,52.85,58,51.74,97,77,20,55.75,2.66,2.11,83.76,67.05,16.71,55.54,2.3,1.84,189,203,14,8.89,92.06,100.95
"N.J","2012-2013",48,2251.2,1897,1498,399,55.88,50.56,39.93,64,74,-10,46.38,1.71,1.97,76.63,63.09,13.54,54.85,2.04,1.68,177,176,-1,6.42,91.21,97.63
"NSH","2012-2013",48,2331.31,1800,2053,-253,46.72,46.33,52.84,75,85,-10,46.88,1.93,2.19,77.45,75.33,2.12,50.69,1.99,1.94,148,158,10,7.66,91.95,99.61
"NYI","2012-2013",48,2350.29,2171,2174,-3,49.97,55.42,55.5,94,96,-2,49.47,2.4,2.45,97.93,91.03,6.9,51.83,2.5,2.32,151,162,11,8.02,90.93,98.96
"NYR","2012-2013",48,2328.9,2253,2081,172,51.98,58.04,53.61,90,67,23,57.32,2.32,1.73,101.48,86.5,14.98,53.98,2.61,2.23,148,157,9,7.41,93.51,100.93
"OTT","2012-2013",48,2244,2305,1994,311,53.62,61.63,53.32,73,73,0,50,1.95,1.95,88.01,77.08,10.93,53.31,2.35,2.06,189,181,-8,6.01,93.44,99.44
"PHI","2012-2013",48,2201.87,1943,2140,-197,47.59,52.95,58.31,81,96,-15,45.76,2.21,2.62,78.33,84.68,-6.35,48.05,2.13,2.31,215,219,4,7.91,90.94,98.85
"PIT","2012-2013",48,2263.18,2040,2119,-79,49.05,54.08,56.18,107,74,33,59.12,2.84,1.96,85.39,78.1,7.29,52.23,2.26,2.07,186,180,-6,9.65,93.31,102.96
"S.J","2012-2013",48,2306.82,2258,2144,114,51.29,58.73,55.77,77,76,1,50.33,2,1.98,92.48,77.7,14.78,54.34,2.41,2.02,140,166,26,6.68,92.9,99.58
"STL","2012-2013",48,2269.53,1949,1784,165,52.21,51.53,47.16,82,76,6,51.9,2.17,2.01,72.96,71.14,1.82,50.63,1.93,1.88,167,178,11,7.87,91.5,99.37
"T.B","2012-2013",48,2281.17,1921,2150,-229,47.19,50.53,56.55,102,98,4,51,2.68,2.58,77.25,81.45,-4.2,48.68,2.03,2.14,178,187,9,9.71,91.43,101.13
"TOR","2012-2013",48,2273.28,1929,2445,-516,44.1,50.91,64.53,104,95,9,52.26,2.74,2.51,74.7,95.14,-20.44,43.98,1.97,2.51,205,198,-7,10.66,92.39,103.04
"VAN","2012-2013",48,2257.72,1993,1880,113,51.46,52.96,49.96,83,80,3,50.92,2.21,2.13,81.76,79.96,1.8,50.56,2.17,2.12,167,186,19,8.03,92.54,100.57
"WPG","2012-2013",48,2354.72,2195,2241,-46,49.48,55.93,57.1,91,102,-11,47.15,2.32,2.6,88.52,93.53,-5.01,48.62,2.26,2.38,157,149,-8,8.3,91.2,99.5
"WSH","2012-2013",48,2289.75,2043,2150,-107,48.72,53.53,56.34,91,85,6,51.7,2.38,2.23,82.09,85.74,-3.65,48.91,2.15,2.25,167,174,7,8.6,92.8,101.4
