"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"N.J","2014-2015",82,3944.64,2969,3323,-354,47.19,45.16,50.54,115,125,-10,47.92,1.75,1.9,122.07,137.7,-15.63,46.99,1.86,2.09,255,221,-34,7.2,93.41,100.61
"NSH","2014-2015",82,3933.01,3830,3435,395,52.72,58.43,52.4,165,125,40,56.9,2.52,1.91,148.19,122.54,25.65,54.74,2.26,1.87,234,249,15,8.08,93.1,101.18
"NYI","2014-2015",82,3962.6,4049,3629,420,52.74,61.31,54.95,167,156,11,51.7,2.53,2.36,194.9,156.86,38.04,55.41,2.95,2.38,217,267,50,7.79,91.47,99.26
"NYR","2014-2015",82,4009.65,3640,3715,-75,49.49,54.47,55.59,179,137,42,56.65,2.68,2.05,166.76,166.99,-0.23,49.97,2.5,2.5,230,225,-5,8.83,93.08,101.92
"OTT","2014-2015",82,3866.19,3585,3551,34,50.24,55.64,55.11,151,143,8,51.36,2.34,2.22,147.54,140.97,6.57,51.14,2.29,2.19,274,280,6,8.01,92.98,100.99
"PHI","2014-2015",82,3930.85,3515,3614,-99,49.31,53.65,55.16,132,135,-3,49.44,2.01,2.06,128.96,145.16,-16.2,47.05,1.97,2.22,277,238,-39,7.31,92.95,100.26
"PIT","2014-2015",82,3861.28,3595,3216,379,52.78,55.86,49.97,145,131,14,52.54,2.25,2.04,142.52,132.44,10.08,51.83,2.21,2.06,347,309,-38,7.42,92.56,99.98
"S.J","2014-2015",82,3968.1,3934,3706,228,51.49,59.48,56.04,138,155,-17,47.1,2.09,2.34,157.82,149.68,8.14,51.32,2.39,2.26,235,255,20,7.05,91.86,98.91
"STL","2014-2015",82,3938.2,3603,3360,243,51.74,54.89,51.19,161,134,27,54.58,2.45,2.04,145,128.08,16.92,53.1,2.21,1.95,292,281,-11,8.19,92.31,100.49
"T.B","2014-2015",82,3833.55,3576,3167,409,53.03,55.97,49.57,176,135,41,56.59,2.75,2.11,143.37,119.1,24.27,54.62,2.24,1.86,259,284,25,9.03,91.92,100.95
"TOR","2014-2015",82,3855.12,3363,3878,-515,46.44,52.34,60.36,136,171,-35,44.3,2.12,2.66,133.74,169.45,-35.71,44.11,2.08,2.64,265,289,24,7.51,91.84,99.35
"VAN","2014-2015",82,3893.2,3476,3548,-72,49.49,53.57,54.68,148,159,-11,48.21,2.28,2.45,139.78,153.5,-13.72,47.66,2.15,2.37,295,269,-26,7.74,91.56,99.3
"WPG","2014-2015",82,3773.4,3501,3165,336,52.52,55.67,50.33,143,123,20,53.76,2.27,1.96,152.41,133.43,18.98,53.32,2.42,2.12,341,291,-50,7.87,92.73,100.6
"WSH","2014-2015",82,3893.65,3614,3420,194,51.38,55.69,52.7,146,133,13,52.33,2.25,2.05,140.73,127.74,12.99,52.42,2.17,1.97,300,273,-27,8.04,92.45,100.49
