"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"FLA","2015-2016",82,3867.03,3110,3274,-164,48.72,48.25,50.8,160,124,36,56.34,2.48,1.92,129.18,134.32,-5.14,49.02,2,2.08,280,291,11,8.88,93.28,102.17
"L.A","2015-2016",82,3935.3,4085,3159,926,56.39,62.28,48.16,141,120,21,54.02,2.15,1.83,155.76,129.15,26.61,54.67,2.37,1.97,284,253,-31,6.82,92.99,99.81
"MIN","2015-2016",82,3914.91,3279,3598,-319,47.68,50.25,55.14,138,127,11,52.08,2.11,1.95,130.1,129.19,0.91,50.18,1.99,1.98,195,242,47,7.79,93,100.79
"MTL","2015-2016",81,3876.61,3647,3450,197,51.39,56.45,53.4,143,152,-9,48.47,2.21,2.35,145.28,139.74,5.54,50.97,2.25,2.16,247,261,14,7.33,91.84,99.17
"N.J","2015-2016",82,3873.76,2724,3180,-456,46.14,42.19,49.25,109,131,-22,45.42,1.69,2.03,118.45,131.92,-13.47,47.31,1.83,2.04,276,240,-36,7.24,92.5,99.73
"NSH","2015-2016",82,3923.97,3672,3322,350,52.5,56.15,50.8,142,136,6,51.08,2.17,2.08,141.81,121.88,19.93,53.78,2.17,1.86,255,262,7,7.31,92.21,99.52
"NYI","2015-2016",82,4014.42,3678,3749,-71,49.52,54.97,56.03,154,145,9,51.51,2.3,2.17,156.46,162.24,-5.78,49.09,2.34,2.42,241,245,4,8.11,92.62,100.72
"NYR","2015-2016",82,4001.17,3438,3816,-378,47.39,51.55,57.22,163,129,34,55.82,2.44,1.93,149.34,162.65,-13.31,47.87,2.24,2.44,244,235,-9,8.99,93.45,102.43
"OTT","2015-2016",81,3903.02,3427,3765,-338,47.65,52.68,57.88,148,144,4,50.68,2.28,2.21,134.9,147.88,-12.98,47.7,2.07,2.27,263,256,-7,8.25,93.02,101.27
"PHI","2015-2016",82,3850.73,3700,3608,92,50.63,57.65,56.22,131,129,2,50.38,2.04,2.01,142.35,146.47,-4.12,49.29,2.22,2.28,295,304,9,6.96,93.35,100.31
"PIT","2015-2016",82,3905.87,3776,3391,385,52.69,58.01,52.09,159,130,29,55.02,2.44,2,161.38,128,33.38,55.77,2.48,1.97,263,258,-5,7.54,93.01,100.55
"S.J","2015-2016",82,3954.49,3661,3423,238,51.68,55.55,51.94,147,132,15,52.69,2.23,2,156.66,127.77,28.89,55.08,2.38,1.94,239,269,30,7.68,92.3,99.99
"STL","2015-2016",82,3906.71,3615,3346,269,51.93,55.52,51.39,139,124,15,52.85,2.13,1.9,145.14,133.25,11.89,52.14,2.23,2.05,273,247,-26,7.04,93.15,100.19
"T.B","2015-2016",82,3824.63,3555,3257,298,52.19,55.77,51.1,147,126,21,53.85,2.31,1.98,126.77,119.86,6.91,51.4,1.99,1.88,273,293,20,7.87,92.9,100.77
"TOR","2015-2016",82,3866.87,3770,3578,192,51.31,58.5,55.52,120,160,-40,42.86,1.86,2.48,142.55,146.13,-3.58,49.38,2.21,2.27,274,259,-15,6.36,91.94,98.3
"VAN","2015-2016",82,3945.79,3272,3659,-387,47.21,49.75,55.64,124,153,-29,44.77,1.89,2.33,128.92,159.84,-30.92,44.65,1.96,2.43,249,261,12,6.88,92.52,99.4
"WPG","2015-2016",82,3864.69,3547,3352,195,51.41,55.07,52.04,145,142,3,50.52,2.25,2.2,148.17,146.69,1.48,50.25,2.3,2.28,301,272,-29,7.66,92.12,99.78
"WSH","2015-2016",82,3939.32,3689,3546,143,50.99,56.19,54.01,162,128,34,55.86,2.47,1.95,145.71,135.78,9.93,51.76,2.22,2.07,248,256,8,8.24,92.9,101.13
